Age_ka,d18O,d13C,MgCa
631.2,4.94,-1.26,0.913
632.0,4.68,-1.34,
632.3,4.90,-1.21,0.921
633.5,4.91,-1.10,0.946
634.6,4.93,-1.30,0.892
634.9,4.76,-1.26,1.085
635.8,5.14,-1.19,1.107
636.9,5.10,-1.26,0.972
637.8,4.71,-1.28,
638.1,4.82,-1.18,1.034
638.6,5.06,-1.17,1.058
639.8,,,1.025
640.6,4.61,-1.17,0.987
640.9,5.01,-1.17,1.138
642.1,4.94,-1.27,1.010
643.2,4.99,-1.26,0.991
643.5,4.73,-1.34,0.975
644.4,4.65,-0.85,0.952
645.5,4.92,-1.09,
646.4,4.70,-1.26,0.992
646.7,4.84,-1.23,1.121
647.8,4.92,-1.06,1.125
649.0,4.79,-1.30,0.996
649.3,4.49,-1.24,0.923
650.1,4.72,-1.15,1.088
651.3,4.81,-1.17,0.940
651.9,4.77,-1.15,1.016
652.4,4.95,-1.20,1.015
653.6,4.90,-1.25,0.915
654.7,4.77,-1.18,0.875
655.0,4.40,-1.19,
655.9,4.76,-1.23,1.068
657.0,4.82,-1.28,1.016
657.9,4.43,-1.26,1.233
658.2,4.78,-1.44,0.899
659.3,4.81,-1.45,0.792
660.5,4.54,-1.51,0.984
660.8,4.41,-1.32,
661.6,4.67,-1.38,0.990
662.8,4.50,-1.26,1.001
663.6,4.54,-1.40,1.151
663.9,4.75,-1.31,0.936
665.1,4.54,-1.28,0.922
666.2,4.67,-1.26,
666.5,4.47,-1.29,
667.4,4.58,-1.46,
668.5,4.54,-1.25,
669.4,4.28,-1.40,
669.7,4.51,-0.84,
670.8,4.22,-0.97,
672.0,4.53,-1.29,
672.3,4.49,-1.26,
673.1,4.89,-1.06,0.960
674.3,4.58,-1.23,
675.2,4.15,-1.03,
675.4,4.49,-1.15,1.016
676.6,4.38,-1.14,
677.7,4.50,-1.10,
678.0,4.36,-1.04,
678.9,4.30,-0.77,
680.0,4.43,-0.92,0.986
680.6,4.15,-0.87,
681.8,4.20,-0.86,0.962
682.9,4.33,,0.916
683.8,4.06,-1.15,
684.1,4.08,-1.12,
685.2,4.14,-1.02,0.966
686.4,4.24,-1.08,0.863
686.7,3.84,-0.97,0.927
687.5,4.15,-1.01,0.912
688.7,4.05,-1.14,0.909
689.5,3.84,-0.81,0.978
689.8,4.19,-1.16,0.910
691.0,4.25,-0.71,0.944
692.1,4.11,-0.51,0.981
692.4,3.74,-0.73,0.922
693.3,3.88,-0.62,0.966
694.4,3.98,-0.64,0.979
695.3,3.58,-0.55,0.983
695.6,3.61,-0.38,1.113
696.7,3.70,-0.54,0.963
697.9,3.71,-0.43,1.037
698.2,3.50,-0.43,1.045
699.0,3.65,-0.62,1.115
700.2,3.66,-0.57,1.016
701.0,3.49,-0.27,0.941
701.3,3.83,-0.58,1.135
702.5,3.65,-0.48,1.085
703.6,3.98,-0.53,1.066
704.2,3.71,-0.42,1.081
704.8,3.86,-0.66,1.128
705.9,3.97,-0.51,1.010
706.8,4.25,-0.72,1.176
707.1,3.86,-0.57,1.094
708.2,4.08,-0.66,1.127
709.4,4.23,-0.68,1.102
709.7,3.96,-0.83,0.964
710.5,4.40,-1.03,1.092
711.7,4.46,-1.15,1.244
712.5,4.57,-0.84,0.948
712.8,4.63,-1.09,0.880
714.0,4.77,-1.17,0.895
715.1,4.85,-1.36,0.928
715.4,4.82,-1.18,0.834
716.3,4.82,-1.42,0.974
717.4,4.80,-1.51,0.898
718.0,4.90,-1.38,0.838
718.6,4.81,-1.36,1.090
719.2,5.01,-1.42,1.024
719.8,4.98,-1.49,0.864
720.5,4.89,-1.47,0.918
721.4,4.71,-1.33,0.963
721.7,4.86,-1.40,0.916
722.9,5.02,-1.39,0.868
724.2,4.91,-1.44,0.892
724.5,4.62,-1.50,0.881
725.4,4.88,-1.30,1.041
726.6,4.59,-1.28,0.972
727.5,4.35,-0.84,0.933
727.8,4.29,-1.07,0.850
729.1,4.35,-0.88,1.003
730.3,4.23,-0.72,1.097
730.6,4.27,-0.57,1.191
731.5,4.46,-0.72,1.247
732.8,4.37,-0.89,1.098
733.7,4.07,-0.65,1.088
734.0,4.16,-0.97,1.004
735.2,4.38,-0.94,1.026
736.5,4.31,-0.96,0.955
736.8,4.05,-0.71,1.126
737.7,4.28,-1.00,0.935
738.9,4.42,-0.92,0.903
739.8,4.17,-0.86,0.973
740.2,4.49,-0.93,0.981
741.4,4.38,-1.02,0.946
742.6,4.54,-1.16,0.939
742.9,4.58,-1.36,
743.8,4.69,-1.26,0.893
745.1,4.79,-1.31,0.894
746.0,4.72,-1.40,0.923
746.3,4.67,-1.45,0.863
747.3,4.92,-1.40,0.986
748.3,4.95,-1.44,0.948
748.5,4.71,-1.33,0.775
749.3,4.67,-1.47,1.126
750.3,5.03,-1.38,0.907
751.0,4.68,-1.38,0.782
751.3,4.84,-1.40,0.885
752.3,4.79,-1.39,0.880
756.8,4.60,-1.45,1.000
757.8,4.52,-1.32,1.043
758.5,4.73,-1.14,1.014
758.8,4.53,-1.35,0.936
759.8,4.62,-1.30,0.937
760.8,4.40,-1.36,0.925
761.0,4.52,-1.23,0.964
761.8,4.51,-1.32,0.974
762.8,4.07,-1.15,0.951
763.5,4.29,-1.22,
763.8,4.12,-1.11,0.897
764.8,4.35,-1.03,0.925
765.8,4.43,-1.17,0.966
766.0,4.18,-1.05,0.893
766.8,4.21,-0.94,1.016
767.8,4.07,-0.89,0.984
768.5,4.02,-0.64,1.091
768.8,4.03,-1.06,0.923
769.8,4.26,-1.00,0.966
770.8,4.20,-0.92,0.951
771.0,4.04,-0.81,0.932
771.8,4.05,-0.84,0.980
772.8,3.87,-0.68,0.964
773.5,3.91,-0.80,0.945
773.8,3.96,-0.73,0.933
774.8,4.01,-0.90,1.044
775.8,3.72,-0.69,1.007
776.0,3.64,-0.67,0.960
776.8,4.06,-0.70,1.015
777.8,3.80,-0.69,1.042
778.5,3.67,-0.54,
778.8,3.76,-0.69,1.132
779.8,3.61,-0.66,1.132
780.8,3.53,-0.65,1.160
781.0,3.55,-0.41,1.069
781.8,3.68,-0.69,1.249
782.8,3.93,-0.75,1.139
783.5,3.50,-0.47,
783.8,3.57,-0.68,1.161
784.8,3.55,-0.78,1.161
785.8,3.69,-0.77,1.226
786.0,3.71,-0.76,1.051
786.8,3.87,-0.82,1.129
787.8,3.95,-0.77,1.111
788.5,4.19,-0.74,
788.8,4.44,-0.78,
789.8,4.43,-0.94,1.123
790.8,4.46,-1.17,1.263
791.0,4.69,-0.90,
791.8,4.65,-1.14,1.011
792.8,4.81,-1.24,0.993
793.5,4.74,-1.05,
793.8,4.89,-1.28,0.965
794.3,4.96,-1.60,0.927
795.3,4.97,-1.48,1.187
796.0,4.81,-1.12,1.136
796.2,5.05,-1.47,1.074
797.1,4.89,-1.49,0.948
798.0,4.67,-1.37,1.004
798.3,4.68,-1.42,1.245
798.9,4.92,-1.43,0.975
799.8,4.89,-1.40,0.873
800.5,4.64,-1.29,0.945
801.6,4.66,-1.24,0.923
802.5,4.70,-1.19,0.896
802.8,4.67,-1.20,0.922
803.4,4.69,-1.28,0.869
804.3,4.73,-1.13,0.881
805.0,4.60,-1.18,0.903
805.2,4.63,-1.19,0.894
806.1,4.53,-1.23,0.930
807.0,4.59,-1.31,0.903
807.3,4.68,-1.09,0.816
807.9,4.44,-1.21,0.922
808.8,4.69,-1.20,0.953
809.5,4.54,-1.21,0.872
809.7,4.59,-1.18,0.905
810.6,4.49,-1.21,0.966
811.5,4.58,-1.07,0.956
811.8,4.39,-1.14,0.927
812.4,4.42,-1.31,0.876
813.3,4.44,-1.15,0.971
814.0,4.62,-1.15,0.939
814.2,4.41,-1.24,0.934
815.1,4.35,-1.17,0.866
816.0,4.33,-1.19,0.934
816.3,4.06,-1.10,0.851
816.9,4.25,-1.38,0.860
817.8,4.36,-1.18,1.010
818.5,4.29,-1.04,0.982
818.7,4.28,-1.25,0.924
819.6,4.42,-1.22,0.985
820.5,4.29,-1.20,1.030
820.8,4.24,-1.12,
821.4,4.23,-0.96,0.981
822.3,4.03,-0.92,0.904
823.0,4.18,-1.10,1.042
823.2,4.17,-1.05,0.954
824.1,4.10,-1.07,0.941
825.0,4.07,-0.84,0.985
825.3,4.05,-0.75,0.967
825.9,4.12,-0.93,1.051
826.8,4.00,-0.99,1.068
827.5,3.88,-0.98,0.967
827.7,4.08,-1.10,0.908
828.2,4.07,-1.15,0.862
829.1,4.19,-1.04,0.918
829.8,4.05,-0.95,0.870
830.0,4.30,-1.19,0.899
830.9,4.24,-1.26,0.811
831.8,4.40,-1.16,0.892
832.0,4.22,-0.92,0.893
833.1,4.30,-1.16,0.825
834.6,4.09,-1.12,1.044
835.7,3.92,-0.80,0.899
836.0,4.07,-1.02,0.968
837.5,3.97,-1.11,0.969
839.0,3.89,-1.10,0.941
839.3,4.06,-1.06,
840.4,4.10,-1.17,0.901
841.9,4.01,-1.03,0.981
843.4,3.66,-0.99,1.025
844.8,4.13,-1.00,0.981
846.3,3.89,-0.96,1.045
846.7,3.64,-0.77,
847.8,3.73,-0.93,0.964
849.2,3.93,-0.97,0.975
850.7,3.62,-0.90,1.060
852.2,3.75,-0.97,1.004
853.6,3.73,-1.04,1.039
854.0,3.42,-0.92,
855.1,3.91,-1.13,1.114
856.5,3.97,-1.14,1.029
856.9,3.97,-0.96,
858.0,4.14,-1.06,1.029
858.7,3.72,-1.10,
859.5,3.99,-1.17,1.002
860.6,3.61,-0.90,
860.9,3.98,-1.01,1.078
861.3,3.50,-0.85,
862.4,3.93,-0.92,1.064
863.9,4.00,-0.73,1.094
864.2,3.95,-0.79,
865.3,3.85,-0.97,1.149
866.1,4.11,-1.12,
866.8,4.10,-1.02,1.084
867.9,4.08,-0.99,
868.3,4.10,-1.05,0.978
869.7,4.58,-1.39,1.030
870.8,4.71,-1.36,0.933
871.6,4.71,-1.56,
872.7,5.03,-1.47,0.992
873.4,4.91,-1.50,
874.1,4.76,-1.62,1.083
875.2,4.95,-1.54,
875.6,5.04,-1.69,0.956
877.1,5.00,-1.62,0.896
878.5,4.90,-1.57,1.009
878.9,4.90,-1.61,
880.0,5.01,-1.49,0.946
880.5,5.11,-1.43,0.940
881.5,5.00,-1.50,1.013
881.7,4.94,-1.35,
882.4,4.99,-1.46,1.065
882.9,4.76,-1.49,
883.4,4.78,-1.47,1.087
884.1,4.87,-1.40,
884.4,4.80,-1.47,1.033
885.4,4.75,-1.35,0.983
886.3,4.80,-1.28,1.125
886.6,4.79,-1.10,
887.3,4.75,-1.43,1.042
887.8,4.92,-1.43,
888.3,4.92,-1.23,1.049
889.0,4.96,-1.32,
889.3,4.69,-1.37,1.158
890.2,4.80,-1.33,1.045
891.2,4.76,-1.37,1.100
891.5,4.86,-1.21,
892.2,4.74,-1.35,1.019
892.7,4.88,-1.18,
893.2,4.78,-1.36,0.898
893.9,4.70,-1.38,
894.1,4.77,-1.43,0.954
895.1,4.65,-1.40,1.000
896.1,4.77,-1.49,1.023
896.3,4.83,-1.24,
897.1,4.70,-1.46,0.903
897.6,4.63,-1.45,
898.8,4.72,-1.56,
899.0,4.94,-1.45,0.959
900.0,4.62,-1.52,0.938
901.0,4.80,-1.44,0.973
901.2,3.98,-1.65,
902.0,4.70,-1.44,0.995
902.4,4.56,-1.23,
902.9,4.80,-1.23,0.962
903.7,4.37,-0.95,
903.9,4.33,-0.90,1.041
904.9,4.60,-1.08,1.067
905.9,4.37,-1.20,0.984
906.1,4.25,-1.20,
906.8,4.38,-1.22,1.099
907.3,4.37,-1.13,
907.8,4.69,-1.02,0.964
908.5,4.22,-1.08,
908.8,4.32,-1.14,1.083
909.8,4.48,-1.27,1.024
910.7,4.40,-1.10,0.963
911.0,4.19,-0.97,
911.7,4.58,-1.12,1.031
912.2,4.40,-1.23,
912.7,4.21,-1.17,1.019
913.4,4.27,-1.16,
913.7,4.52,-1.34,0.996
914.6,4.72,-1.39,0.937
915.6,4.68,-1.25,1.063
915.9,4.34,-1.37,
916.6,4.63,-1.49,1.131
917.1,4.59,-1.33,1.039
918.3,4.40,-1.18,
919.0,4.71,-1.47,0.915
919.5,4.68,-1.52,
920.0,4.75,-1.45,0.964
920.8,4.61,-1.48,
921.1,4.61,-1.38,1.104
922.2,4.69,-1.25,1.004
923.3,4.45,-1.36,0.907
923.6,4.55,-1.48,
924.4,4.82,-1.44,0.914
925.0,4.28,-1.25,
925.5,4.72,-1.44,0.920
926.3,4.52,-1.36,
926.6,4.48,-1.27,0.899
927.7,4.51,-1.38,0.943
930.5,4.09,-1.29,0.929
931.8,4.23,-1.25,0.987
933.2,4.16,-1.13,0.916
934.6,3.91,-0.82,0.996
936.0,4.12,-0.87,0.946
937.3,4.00,-0.96,0.942
938.7,4.03,-0.85,
940.4,4.08,-0.67,
941.5,3.94,-0.62,
942.0,3.98,-0.88,
942.3,3.98,-0.99,0.924
944.8,3.99,-0.89,0.975
947.5,3.65,-0.82,1.007
950.3,3.62,-0.56,1.011
952.2,3.54,-0.66,1.113
952.7,3.41,-0.55,
953.0,3.55,-0.44,1.054
954.1,3.47,-0.79,1.080
955.2,3.44,-0.48,
955.5,3.61,-0.74,1.144
957.7,3.79,-1.03,1.069
958.2,3.34,-0.97,
958.8,3.70,-0.92,1.090
959.9,4.07,-1.01,1.176
961.0,4.38,-1.23,1.066
961.0,3.86,-1.07,0.946
961.3,4.22,-1.06,
962.1,4.39,-1.22,0.977
963.2,4.62,-1.32,0.855
964.0,4.33,-1.28,
964.3,4.77,-1.46,0.997
965.4,4.64,-1.31,0.877
966.5,4.65,-1.49,0.874
966.8,4.38,-1.42,
967.6,4.69,-1.40,0.941
968.7,4.49,-1.31,0.953
969.2,4.43,-1.36,
969.8,4.51,-1.33,0.915
970.9,4.44,-1.18,0.878
972.0,4.30,-1.02,0.905
972.3,4.34,-1.21,0.949
975.0,3.74,-1.15,1.123
977.8,3.91,-0.76,1.064
980.5,3.83,-0.77,0.998
983.0,4.26,-0.91,0.969
986.0,4.22,-1.73,0.846
988.2,4.08,-1.40,1.024
990.5,4.12,-0.89,0.862
992.5,4.00,-0.67,0.981
994.5,3.97,-0.63,1.001
995.2,3.97,-0.67,1.083
996.1,3.98,-0.75,1.038
996.7,3.94,-0.50,
997.0,3.98,-0.69,1.087
997.8,3.80,-0.67,1.068
998.7,4.07,-0.56,1.079
999.2,3.81,-0.68,
999.6,4.10,-0.59,1.076
1000.5,4.01,-0.73,1.095
1001.4,4.08,-0.93,1.023
1001.6,4.09,-0.82,
1002.3,4.27,-0.97,1.011
1003.2,4.29,-0.99,1.022
1003.9,4.46,-1.01,
1004.1,4.31,-1.22,0.943
1005.0,4.30,-0.94,0.942
1005.0,4.76,-1.12,0.878
1005.7,4.42,-1.07,1.007
1006.5,4.41,-1.03,1.091
1006.7,4.40,-0.88,
1007.2,4.60,-0.96,0.970
1008.0,4.31,-0.86,1.040
1008.5,4.35,-1.00,
1008.7,4.46,-0.92,0.987
1008.7,4.46,-1.20,1.009
1009.4,4.47,-0.82,1.023
1009.6,4.32,-0.64,
1010.2,4.42,-1.04,0.953
1010.9,4.33,-0.80,0.973
1011.5,4.20,-0.70,
1011.7,4.30,-0.84,1.029
1011.7,4.28,-0.93,0.951
1012.4,4.46,-0.83,0.996
1013.1,4.32,-0.71,0.986
1013.3,4.26,-0.87,
1013.9,4.24,-0.81,1.053
1013.9,4.38,-0.92,0.989
1014.6,3.91,-0.78,1.068
1015.0,3.50,-0.61,
1015.3,4.01,-0.72,1.009
1016.1,4.01,-0.68,1.124
1016.8,4.23,-0.72,0.987
1017.0,3.99,-0.63,
1017.6,4.35,-0.92,1.035
1018.3,4.02,-0.84,0.994
1018.9,3.92,-0.67,
1019.0,4.13,-0.78,1.042
1019.0,3.90,-0.69,0.987
1019.8,3.86,-0.83,1.099
1020.5,4.05,-0.60,1.038
1020.7,3.86,-0.39,
1021.3,3.95,-0.66,1.020
1022.0,3.79,-0.73,0.944
1022.8,3.66,-0.49,
1023.6,3.80,-0.58,1.034
1025.2,4.00,-0.85,0.999
1026.4,3.81,-0.67,
1026.8,3.83,-0.94,1.120
1026.8,3.90,-0.77,1.014
1028.4,4.07,-0.84,0.966
1028.4,,-1.21,1.064
1030.0,4.17,-0.90,1.041
1030.0,3.82,-0.84,1.086
1030.4,4.22,-0.64,
1031.6,4.02,-0.89,0.952
1033.2,4.44,-1.02,0.925
1034.8,4.43,-0.95,1.004
1036.4,4.55,-1.04,0.926
1038.0,4.54,-1.05,0.941
1038.6,4.40,-0.98,
1039.1,4.21,-0.93,0.912
1040.3,4.35,-0.92,0.953
1041.4,4.46,-1.09,0.984
1041.7,4.37,-0.99,
1042.5,4.44,-0.97,0.951
1043.7,4.53,-1.12,0.873
1043.9,4.28,-1.19,
1044.8,4.30,-1.06,0.994
1045.9,4.46,-1.08,0.855
1047.1,4.36,-1.21,0.929
1047.3,4.20,-1.26,
1048.2,4.36,-1.10,0.997
1049.3,4.41,-1.14,0.886
1050.2,4.27,-1.20,
1050.5,4.30,-1.08,0.961
1051.6,4.37,-1.24,0.985
1052.4,4.19,-1.19,
1052.7,4.43,-1.07,0.880
1053.8,4.22,-1.17,0.998
1053.8,4.19,-0.90,0.969
1055.0,4.17,-1.04,0.960
1055.8,4.14,-1.02,
1056.1,4.19,-0.96,0.968
1056.1,4.06,-0.64,0.995
1057.2,4.27,-1.00,0.992
1058.4,4.08,-1.07,0.931
1058.4,,,0.876
1058.4,4.18,-1.16,
1059.5,4.21,-1.31,0.869
1060.6,4.48,-1.25,0.911
1061.5,4.23,-1.23,
1061.8,4.18,-1.25,1.058
1061.8,4.13,-1.02,0.949
1062.9,3.92,-1.11,0.859
1064.0,3.91,-1.25,1.043
1064.3,3.60,-0.51,
1065.2,4.16,-1.07,0.979
1066.3,4.02,-1.07,0.989
1067.2,3.72,-0.60,
1067.4,4.02,-1.04,0.923
1067.4,3.81,-0.81,1.020
1068.0,3.60,-0.69,1.028
1068.6,3.77,-0.72,1.029
1068.6,3.67,-0.81,1.056
1069.7,3.41,-0.64,1.076
1069.7,3.56,-0.46,1.061
1070.0,3.36,-0.40,
1070.8,3.58,-0.54,1.098
1072.0,3.37,-0.60,1.174
1072.5,3.37,-0.56,
1073.1,3.29,-0.62,1.180
1074.2,3.34,-0.68,1.188
1075.6,3.58,-0.33,
1076.5,3.34,-0.55,1.225
1077.6,3.40,-0.62,1.194
1078.5,3.45,-0.78,
1078.8,3.10,-0.72,1.078
1078.8,3.28,-0.62,1.187
1079.9,3.37,-0.37,1.179
1081.0,3.30,-0.67,1.136
1081.3,3.32,-0.21,
1082.2,3.43,-0.42,1.163
1082.2,3.40,-0.51,1.211
1083.3,3.57,-0.55,1.245
1084.1,3.46,-0.35,
1084.4,3.69,-0.51,1.125
1084.4,3.62,-0.49,1.208
1085.5,3.75,-0.48,1.134
1086.7,,,1.143
1087.0,4.05,-0.54,
1087.8,3.93,-0.37,1.248
1088.9,4.24,-0.81,1.088
1089.8,3.88,-0.63,
1090.1,4.22,-0.69,1.168
1091.2,4.39,-0.74,1.225
1092.3,4.29,-0.81,1.056
1092.6,4.16,-0.64,
1093.5,4.26,-0.98,0.993
1094.6,4.35,-1.12,1.003
1094.6,4.41,-1.12,1.109
1094.9,3.82,-0.89,
1095.7,4.31,-1.08,1.084
1095.7,4.04,-1.12,0.990
1096.9,4.53,-1.29,1.014
1098.0,4.63,-1.45,0.936
1098.3,4.24,-1.16,
1099.0,4.49,-0.71,0.884
1100.0,4.06,-1.34,0.888
1100.8,4.12,-1.19,
1101.0,4.19,-1.14,0.935
1102.0,4.37,-1.12,0.930
1103.0,4.26,-1.20,0.979
1103.3,4.02,-0.73,
1104.0,4.03,-0.69,1.107
1104.0,4.01,-0.61,1.024
1105.0,4.07,-0.54,1.010
1105.8,3.89,-0.62,
1106.0,3.88,-0.54,1.105
1107.0,3.94,-0.51,0.981
1108.0,3.73,-0.63,1.086
1108.6,3.91,-0.59,
1112.8,3.94,-0.66,1.139
1114.6,4.24,-0.90,
1115.2,4.00,-0.93,1.062
1117.6,4.33,-0.98,1.066
1120.0,4.40,-0.92,0.965
1120.6,4.40,-0.77,
1122.4,4.59,-0.96,1.010
1122.4,4.27,-0.96,1.004
1124.8,4.34,-1.26,1.050
1126.0,4.59,-1.31,
1130.2,4.36,-1.34,0.919
1131.2,4.65,-1.44,0.947
1131.7,4.35,-1.17,
1132.3,4.37,-1.32,0.922
1133.3,4.22,-1.19,0.982
1134.1,4.40,-1.09,
1134.3,4.46,-1.44,1.017
1135.4,4.69,-1.39,0.918
1136.4,,-0.85,0.924
1136.7,4.34,-1.13,
1137.5,4.19,-1.15,0.946
1138.5,4.47,-0.95,1.011
1139.3,4.25,-1.07,
1139.5,4.12,-0.93,0.937
1140.6,4.32,-1.09,1.014
1141.6,4.25,-0.84,0.952
1142.7,4.40,-1.13,1.006
1143.7,4.16,-1.00,0.968
1144.8,,-0.80,1.031
1145.8,4.11,-0.95,1.041
1146.8,3.91,-0.69,1.134
1147.9,3.87,-0.60,1.137
1148.9,4.10,-0.66,1.144
1150.0,3.85,-0.56,1.090
1151.0,3.87,-0.51,1.074
1152.1,3.79,-0.56,1.084
1153.1,3.91,-0.39,1.144
1154.1,4.11,-0.41,1.080
1155.2,4.13,-0.43,1.048
1156.2,3.90,-0.39,1.151
1157.3,4.04,-0.78,1.108
1158.3,4.09,-0.75,1.140
1159.4,3.78,-0.78,1.029
1160.4,3.81,-0.90,1.064
1161.4,3.78,-0.74,1.059
1162.5,3.92,-0.84,1.102
1163.5,4.47,-0.99,0.942
1164.6,4.05,-0.77,1.016
1165.6,3.82,-0.64,1.057
1165.6,3.80,-0.48,
1166.6,3.68,-0.31,1.096
1167.7,3.65,-0.37,1.083
1168.7,3.76,-0.22,1.147
1169.8,3.57,-0.30,1.156
1170.8,3.66,-0.56,1.138
1171.9,4.11,-0.71,1.112
1172.9,4.29,-1.04,0.969
1173.2,4.08,-1.09,
1173.4,4.40,-1.00,0.968
1173.9,4.11,-0.80,1.135
1174.5,4.12,-0.78,0.909
1175.0,3.76,-0.75,1.041
1175.8,4.19,-0.01,
1176.0,3.73,-0.66,1.074
1177.1,3.81,-0.62,1.027
1177.9,3.56,-0.56,
1178.1,3.82,-0.57,0.953
1180.5,3.69,-0.54,1.089
1183.1,3.68,-0.22,1.053
1184.4,3.68,-0.66,1.120
1188.1,3.88,-0.86,1.040
1190.0,4.18,-0.92,1.001
1191.8,4.44,-1.19,1.031
1193.7,4.40,-1.23,0.932
1195.6,4.47,-1.35,0.972
1197.5,4.51,-1.21,0.882
1199.4,4.51,-1.24,0.842
1201.3,4.52,-1.26,0.908
1203.1,4.43,-1.15,0.861
1205.0,4.44,-1.10,0.884
1206.9,4.45,-0.91,0.986
1208.8,4.21,-0.89,0.997
1210.7,4.18,-0.88,1.029
1212.6,4.24,-0.89,0.879
1214.4,4.13,-0.92,0.900
1216.3,4.15,-0.83,0.820
1218.2,4.05,-0.57,0.910
1220.1,3.91,-0.61,0.925
1222.0,3.79,-0.40,0.898
1223.9,3.54,-0.31,1.019
1225.8,3.67,-0.28,0.928
1227.6,3.63,-0.32,1.035
1229.5,3.67,-0.44,0.992
1231.4,3.70,-0.42,1.237
1233.3,3.56,-0.44,1.069
1235.2,3.49,-0.31,1.252
1237.1,3.65,-0.62,1.033
1238.9,3.54,-0.58,1.272
1240.8,3.87,-1.05,0.976
1242.7,3.88,-0.74,1.036
1244.5,4.48,-1.03,1.021
1246.1,4.81,-1.32,1.015
1247.8,4.53,-1.19,0.940
1249.4,4.58,-1.33,1.095
1251.0,4.58,-1.18,0.872
1252.7,4.72,-1.28,0.836
1254.3,4.58,-1.17,0.956
1255.9,4.53,-1.13,0.846
1257.6,4.36,-1.08,0.979
1259.2,4.17,-0.94,0.912
1260.7,4.18,-1.01,0.939
1262.1,4.34,-1.04,0.894
1263.6,4.29,-0.89,0.778
1265.0,4.30,-0.98,0.996
1266.5,4.27,-0.94,0.866
1267.9,4.21,-1.08,0.833
1269.3,4.19,-1.16,0.839
1270.8,4.16,-0.83,1.031
1272.2,4.11,-0.87,0.892
1273.7,4.01,-0.79,0.946
1275.1,4.09,-0.63,0.902
1276.6,3.95,-0.52,0.990
1278.0,4.05,-0.69,0.869
1279.5,3.84,-0.59,0.947
1280.9,3.93,-0.46,1.034
1282.4,3.82,-0.61,1.004
1283.8,4.06,-0.73,0.964
1285.2,4.05,-0.86,1.032
1287.1,4.46,-0.76,1.092
1289.1,4.44,-1.03,0.976
1291.0,4.48,-1.15,0.924
1293.0,4.58,-1.21,0.906
1294.9,4.40,-1.07,0.982
1296.9,4.45,-1.18,0.916
1296.9,4.30,-1.25,0.962
1298.8,4.34,-1.12,0.797
1300.8,4.35,-1.13,0.815
1302.7,4.26,-1.09,0.875
1304.7,4.07,-0.76,0.904
1307.1,3.97,-0.79,0.867
1309.6,3.95,-0.69,1.067
1312.0,3.86,-0.56,0.912
1314.5,3.88,-0.64,0.979
1317.0,3.73,-0.58,0.998
1319.3,4.03,-0.74,0.939
1321.2,4.03,-0.86,0.919
1323.1,4.18,-0.94,0.948
1325.0,4.33,-1.19,0.903
1326.9,4.32,-1.28,0.936
1328.8,4.38,-1.34,0.769
1330.7,4.34,-1.37,0.743
1332.6,4.30,-1.37,0.812
1334.5,4.39,-1.44,0.908
1336.4,4.37,-1.29,0.864
1338.3,4.25,-1.34,0.733
1340.2,4.25,-0.47,0.820
1342.2,4.30,-1.18,0.866
1344.1,4.12,-1.01,1.038
1346.0,4.28,-1.08,0.984
1347.9,3.89,-0.55,0.991
1350.0,3.80,-0.33,0.996
1352.1,,,1.041
1354.2,3.60,-0.29,1.001
1356.4,3.98,-0.79,0.966
1358.5,3.48,-0.40,1.021
1360.6,3.90,-0.47,0.910
1364.9,3.84,-0.77,1.035
1367.0,3.99,-0.85,0.969
1369.1,4.11,-0.63,1.081
1371.2,3.88,-0.57,1.020
1373.4,3.93,-0.75,1.059
1375.5,4.01,-0.60,0.822
1377.6,3.75,-0.53,0.872
1379.9,4.04,-0.77,0.828
1382.1,4.16,-0.74,0.905
1384.4,4.01,-0.49,0.996
1386.6,4.15,-0.70,0.857
1388.9,,,
1391.1,4.06,-0.54,0.921
1393.4,3.84,-0.53,0.908
1395.6,3.69,-0.73,
1397.9,3.66,-0.40,0.999
1400.2,3.57,-0.41,
1402.4,3.68,-0.45,1.039
1404.7,4.01,-0.84,0.844
1406.7,4.25,-1.02,0.769
1408.2,4.31,-1.09,0.835
1409.6,4.39,-0.88,0.714
1411.1,4.37,-1.08,0.695
1412.6,4.41,-1.10,0.746
1414.1,4.34,-1.18,0.742
1415.6,4.24,-0.93,0.772
1417.1,4.24,-1.03,0.843
1418.6,4.18,-0.86,0.873
1420.1,4.22,-0.87,
1421.5,4.19,-0.55,1.219
1423.0,4.57,-0.56,0.865
1424.5,4.16,-0.92,
1426.0,4.32,-1.00,0.989
1428.1,4.39,-0.79,0.768
1430.1,3.57,0.05,
1432.1,3.78,-0.20,1.168
1434.1,3.49,0.10,1.244
1436.2,3.54,-0.13,1.291
1438.2,4.13,0.13,1.050
1440.2,3.41,-0.39,1.130
1442.2,3.56,-0.34,1.153
1444.2,3.78,-0.49,
1446.3,3.64,-0.52,
1448.3,3.54,-0.43,1.062
1450.3,3.93,-0.87,1.090
1452.2,4.11,-0.86,0.969
1453.9,4.37,-1.03,0.968
1455.5,4.45,-1.16,1.063
1457.1,4.47,-1.14,0.948
1458.7,4.57,-1.25,0.969
1460.3,4.47,-1.03,0.885
1461.9,4.37,-1.14,0.927
1463.6,4.25,-0.84,0.895
1465.2,4.19,-1.08,1.121
1466.8,3.99,-0.49,1.229
1468.4,4.06,-0.26,1.034
1470.0,3.88,-0.43,1.010
